longitude,latitude,temperature
114.68,35.44,
114.78,35.44,
114.88,35.44,
114.98,35.44,
115.08,35.44,
115.18,35.44,
115.28,35.44,4.91
115.38,35.44,4.89
115.49,35.44,4.83
115.59,35.44,4.72
115.69,35.44,4.55
115.79,35.44,4.33
115.89,35.44,4.07
115.99,35.44,3.77
116.09,35.44,3.44
116.19,35.44,3.09
116.29,35.44,2.75
116.39,35.44,2.43
116.49,35.44,2.14
116.59,35.44,1.91
116.69,35.44,1.73
116.79,35.44,1.63
116.89,35.44,1.61
116.99,35.44,1.66
117.09,35.44,1.79
117.19,35.44,2.0
117.29,35.44,2.26
117.39,35.44,2.58
117.5,35.44,2.93
117.6,35.44,3.29
117.7,35.44,3.67
117.8,35.44,4.04
117.9,35.44,4.39
118.0,35.44,4.71
118.1,35.44,5.0
118.2,35.44,5.25
118.3,35.44,5.47
118.4,35.44,5.66
118.5,35.44,5.82
118.6,35.44,5.97
118.7,35.44,6.1
118.8,35.44,6.23
118.9,35.44,6.35
119.0,35.44,6.46
119.1,35.44,6.57
119.2,35.44,6.66
119.3,35.44,6.73
119.4,35.44,6.77
119.51,35.44,6.78
119.61,35.44,
119.71,35.44,
119.81,35.44,
119.91,35.44,
120.01,35.44,
120.11,35.44,
120.21,35.44,
120.31,35.44,
120.41,35.44,
120.51,35.44,
120.61,35.44,
120.71,35.44,
120.81,35.44,
120.91,35.44,
121.01,35.44,
121.11,35.44,
121.21,35.44,
121.31,35.44,
121.41,35.44,
121.52,35.44,
121.62,35.44,
121.72,35.44,
121.82,35.44,
121.92,35.44,
122.02,35.44,
122.12,35.44,
122.22,35.44,
122.32,35.44,
122.42,35.44,
114.48,35.52,
114.58,35.52,
114.68,35.52,
114.78,35.52,
114.88,35.52,
114.98,35.52,
115.08,35.52,
115.18,35.52,
115.28,35.52,
115.38,35.52,4.86
115.49,35.52,4.79
115.59,35.52,4.67
115.69,35.52,4.49
115.79,35.52,4.25
115.89,35.52,3.96
115.99,35.52,3.63
116.09,35.52,3.27
116.19,35.52,2.89
116.29,35.52,2.52
116.39,35.52,2.16
116.49,35.52,1.84
116.59,35.52,1.58
116.69,35.52,1.38
116.79,35.52,1.26
116.89,35.52,1.21
116.99,35.52,1.26
117.09,35.52,1.38
117.19,35.52,1.58
117.29,35.52,1.84
117.39,35.52,2.15
117.5,35.52,2.5
117.6,35.52,2.88
117.7,35.52,3.26
117.8,35.52,3.64
117.9,35.52,4.0
118.0,35.52,4.33
118.1,35.52,4.63
118.2,35.52,4.9
118.3,35.52,5.14
118.4,35.52,5.35
118.5,35.52,5.53
118.6,35.52,5.7
118.7,35.52,5.85
118.8,35.52,5.99
118.9,35.52,6.13
119.0,35.52,6.27
119.1,35.52,6.4
119.2,35.52,6.51
119.3,35.52,6.6
119.4,35.52,6.66
119.51,35.52,6.69
119.61,35.52,6.69
119.71,35.52,
119.81,35.52,
119.91,35.52,
120.01,35.52,
120.11,35.52,
120.21,35.52,
120.31,35.52,
120.41,35.52,
120.51,35.52,
120.61,35.52,
120.71,35.52,
120.81,35.52,
120.91,35.52,
121.01,35.52,
121.11,35.52,
121.21,35.52,
121.31,35.52,
121.41,35.52,
121.52,35.52,
121.62,35.52,
121.72,35.52,
121.82,35.52,
121.92,35.52,
122.02,35.52,
122.12,35.52,
122.22,35.52,
122.32,35.52,
122.42,35.52,
114.48,35.6,
114.58,35.6,
114.68,35.6,
114.78,35.6,
114.88,35.6,
114.98,35.6,
115.08,35.6,
115.18,35.6,
115.28,35.6,
115.38,35.6,
115.49,35.6,4.75
115.59,35.6,4.62
115.69,35.6,4.42
115.79,35.6,4.16
115.89,35.6,3.85
115.99,35.6,3.49
116.09,35.6,3.1
116.19,35.6,2.7
116.29,35.6,2.29
116.39,35.6,1.91
116.49,35.6,1.57
116.59,35.6,1.28
116.69,35.6,1.06
